GEO_ID,NAME,S1501_C01_001E
37001,"Alamance County, North Carolina",17574
37003,"Alexander County, North Carolina",2858
37005,"Alleghany County, North Carolina",663
37007,"Anson County, North Carolina",1917
37009,"Ashe County, North Carolina",1663
37011,"Avery County, North Carolina",1584
37013,"Beaufort County, North Carolina",3343
37015,"Bertie County, North Carolina",1538
37017,"Bladen County, North Carolina",2447
37019,"Brunswick County, North Carolina",7331
37021,"Buncombe County, North Carolina",19882
37023,"Burke County, North Carolina",7351
37025,"Cabarrus County, North Carolina",16834
37027,"Caldwell County, North Carolina",6279
37029,"Camden County, North Carolina",575
37031,"Carteret County, North Carolina",4508
37033,"Caswell County, North Carolina",1901
37035,"Catawba County, North Carolina",13301
37037,"Chatham County, North Carolina",4360
37039,"Cherokee County, North Carolina",1791
37041,"Chowan County, North Carolina",561
37043,"Clay County, North Carolina",603
37045,"Cleveland County, North Carolina",8911
37047,"Columbus County, North Carolina",4666
37049,"Craven County, North Carolina",12432
37051,"Cumberland County, North Carolina",44109
37053,"Currituck County, North Carolina",1699
37055,"Dare County, North Carolina",2265
37057,"Davidson County, North Carolina",12633
37059,"Davie County, North Carolina",3065
37061,"Duplin County, North Carolina",4713
37063,"Durham County, North Carolina",32351
37065,"Edgecombe County, North Carolina",4040
37067,"Forsyth County, North Carolina",36820
37069,"Franklin County, North Carolina",5585
37071,"Gaston County, North Carolina",17876
37073,"Gates County, North Carolina",807
37075,"Graham County, North Carolina",637
37077,"Granville County, North Carolina",5072
37079,"Greene County, North Carolina",1697
37081,"Guilford County, North Carolina",58209
37083,"Halifax County, North Carolina",3801
37085,"Harnett County, North Carolina",11750
37087,"Haywood County, North Carolina",4056
37089,"Henderson County, North Carolina",7442
37091,"Hertford County, North Carolina",2714
37093,"Hoke County, North Carolina",4414
37095,"Hyde County, North Carolina",164
37097,"Iredell County, North Carolina",14271
37099,"Jackson County, North Carolina",8169
37101,"Johnston County, North Carolina",15933
37103,"Jones County, North Carolina",531
37105,"Lee County, North Carolina",4933
37107,"Lenoir County, North Carolina",4300
37109,"Lincoln County, North Carolina",5840
37111,"McDowell County, North Carolina",3101
37113,"Macon County, North Carolina",2288
37115,"Madison County, North Carolina",2144
37117,"Martin County, North Carolina",1601
37119,"Mecklenburg County, North Carolina",98680
37121,"Mitchell County, North Carolina",1060
37123,"Montgomery County, North Carolina",2244
37125,"Moore County, North Carolina",6107
37127,"Nash County, North Carolina",8238
37129,"New Hanover County, North Carolina",29543
37131,"Northampton County, North Carolina",1242
37133,"Onslow County, North Carolina",43726
37135,"Orange County, North Carolina",26571
37137,"Pamlico County, North Carolina",779
37139,"Pasquotank County, North Carolina",3785
37141,"Pender County, North Carolina",4580
37143,"Perquimans County, North Carolina",777
37145,"Person County, North Carolina",2987
37147,"Pitt County, North Carolina",31388
37149,"Polk County, North Carolina",1221
37151,"Randolph County, North Carolina",11345
37153,"Richmond County, North Carolina",4022
37155,"Robeson County, North Carolina",13451
37157,"Rockingham County, North Carolina",6759
37159,"Rowan County, North Carolina",12130
37161,"Rutherford County, North Carolina",4916
37163,"Sampson County, North Carolina",5313
37165,"Scotland County, North Carolina",3335
37167,"Stanly County, North Carolina",5035
37169,"Stokes County, North Carolina",3397
37171,"Surry County, North Carolina",5672
37173,"Swain County, North Carolina",1199
37175,"Transylvania County, North Carolina",2663
37177,"Tyrrell County, North Carolina",391
37179,"Union County, North Carolina",21364
37181,"Vance County, North Carolina",3860
37183,"Wake County, North Carolina",99173
37185,"Warren County, North Carolina",1671
37187,"Washington County, North Carolina",1174
37189,"Watauga County, North Carolina",15825
37191,"Wayne County, North Carolina",12000
37193,"Wilkes County, North Carolina",5138
37195,"Wilson County, North Carolina",7144
37197,"Yadkin County, North Carolina",2792
37199,"Yancey County, North Carolina",1258
